LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll
0.007,-0.233,0.935,-0.702,-0.007,0.007,-0.566,1.034,-0.468,-0.007
0.054,-0.181,0.893,-0.712,-0.054,0.054,-0.53,1.029,-0.499,-0.054
0.095,-0.126,0.839,-0.714,-0.095,0.095,-0.49,1.014,-0.524,-0.095
0.141,-0.11,0.869,-0.759,-0.141,0.121,-0.437,0.986,-0.55,-0.138
0.166,-0.194,1.018,-0.824,-0.166,0.105,-0.417,0.982,-0.565,-0.157
0.194,-0.422,1.275,-0.852,-0.194,0.122,-0.415,0.998,-0.583,-0.174
0.202,-0.591,1.372,-0.781,-0.202,0.126,-0.426,1.02,-0.593,-0.179
0.198,-0.716,1.369,-0.653,-0.198,0.125,-0.437,1.04,-0.603,-0.177
0.184,-0.764,1.278,-0.515,-0.184,0.118,-0.436,1.047,-0.612,-0.17
0.152,-0.712,1.087,-0.375,-0.152,0.109,-0.404,1.029,-0.625,-0.149
0.128,-0.657,1.009,-0.352,-0.128,0.123,-0.37,1.006,-0.636,-0.128
0.099,-0.629,1.006,-0.378,-0.099,0.099,-0.334,0.988,-0.654,-0.099
0.04,-0.596,1.028,-0.432,-0.04,0.04,-0.279,0.964,-0.685,-0.04
-0.007,-0.566,1.034,-0.468,0.007,-0.007,-0.233,0.935,-0.702,0.007
-0.055,-0.53,1.029,-0.499,0.055,-0.055,-0.181,0.893,-0.712,0.055
-0.111,-0.471,1.002,-0.531,0.111,-0.112,-0.104,0.821,-0.716,0.112
-0.121,-0.437,0.986,-0.549,0.138,-0.141,-0.11,0.869,-0.759,0.141
-0.112,-0.413,0.985,-0.571,0.164,-0.177,-0.26,1.108,-0.848,0.177
-0.122,-0.415,0.998,-0.583,0.174,-0.194,-0.422,1.275,-0.852,0.194
-0.126,-0.426,1.019,-0.593,0.179,-0.202,-0.591,1.372,-0.781,0.202
-0.122,-0.438,1.046,-0.608,0.174,-0.192,-0.751,1.332,-0.582,0.192
-0.112,-0.429,1.045,-0.616,0.164,-0.174,-0.759,1.214,-0.456,0.174
-0.109,-0.404,1.029,-0.624,0.149,-0.153,-0.712,1.087,-0.375,0.153
-0.114,-0.352,0.996,-0.644,0.115,-0.115,-0.64,1,-0.361,0.115
-0.081,-0.317,0.981,-0.665,0.081,-0.081,-0.619,1.014,-0.395,0.081
-0.04,-0.279,0.965,-0.685,0.04,-0.04,-0.596,1.028,-0.432,0.04
